Rank;NOME
332;MORRA EMANUELE
333;MANGIAPANE ALESSANDRO
334;PORRELLO GIUSEPPE
335;BRUSCA FRANCESCO
336;NICASTRO CARLO
337;PALESE GIUSEPPE
338;TAVOLACCI ALBERTO
338;GOSO BERNARD NHAN
340;POTOPOWICZ PATRICK ANTHONY
341;D'ALESSANDRO FRANCESCO
342;MARRA ALESSANDRO
343;IANNINI LORENZO
344;PASSERI ALESSIO
345;CORDESCHI LORENZO
346;MARINA FEDERICO
347;GALASSO GIULIO
348;IMBIMBO FRANCESCO
349;BENUCCI MICHELE
349;SABBADIN ANTONIO
351;TALLO DAVID
352;MARSICO GAETANO
353;DAL BIANCO EMILIO
354;BUONOMO FABIO VALERIO
355;IUCULANO EMANUELE
356;VALSECCHI MATTEO PIERGIORGIO
357;MARDEGAN DAVIDE MARIO
358;FAEDI MARTINO
359;GIUDICE ASCANIO LUDOVICO
360;NADIN BRIAN
361;DELLACHÁ GIACOMO
362;IEVA MIKAEL
363;LABBOZZETTA STEFANO
364;DOLCEMASCOLO DAVIDE
365;CAVARRA GIANLUCA
366;GIANI PAOLO
367;SAFINA NICOLO' GIUSEPPE
368;SGARBI MASSIMILIANO
369;PETRONE DAVIDE
370;MAZZOTTA GIOVANNI
371;AJENA ANTONIO
372;CAPITANIO ALESSANDRO LUIGI
373;TERLIZZI LUCA
374;FIORE GUIDO
375;FOLLIERI ATTILIO
376;COSTANZO GIUSEPPE
377;SARCHIONE ANDREA
378;CALCAGNO ALESSANDRO
379;TULLI ALESSANDRO AMIN
380;PIETRINI ANGELO
381;SONCINA FEDERICO
382;MALPAGA CHRISTIAN RENZO
383;VILLATA LEONARDO PIETRO
384;POZDNYAKOV IGOR
385;IOVINO CHRISTIAN
386;CIRILLO LUIGI
387;BREUSA SIMONE
388;ZONCA MINH DAT PIETRO
389;CARTINI SIMONE
390;IVALDI MARCO
391;MENEGHINI DANIELE
392;BRINDISI LEOPOLDO FRANCESCO
393;PENGUE PAOLO
394;SARNO GRAZIANO
