Rank;NOME
503;SAPONARO IVAN
504;ANDREOLI PIETRO
505;PANZANI GIULIO
506;BOVE GIULIO
507;BENEFORTI NICCOLO'
508;VACANTE GAETANO
509;GOSO BERNARD NHAN
510;LUZZO PASQUALE
511;DE SANTIS MICHELE
512;SCAPIN LEONARDO
513;INCHES MASSIMO
514;TARDUCCI FEDERICO
515;BECIANI EMANUELE
516;CROSATO ALBERTO
517;GHIOSSO PIETRO MARIA
518;SOVILLA FEDERICO
519;FERRARI ADRIANO
520;NANI MAURIZIO
521;PENNAZZI MARCO
522;FOGOLIN NICOLA
523;BUGARI MATTEO
524;SERENELLI MASSIMO
525;BRANCONE MARCO
526;DI MARZIO ADRIANO
527;LUNGHI CARLO MARIA
528;LANDI YURI
529;DE MARTINO PIO
530;SANTANIELLO RICCARDO
531;BOGI JACOPO
532;MARTINI DAMIANO
532;DELENTULUS ELIA
534;GARZELLI GABRIELE
535;FRANCESCHI MATTEO
536;PUCCETTI FRANCESCO
537;RIZZI ANDREI
538;D'ANNA DANILO
539;SALVATORI LEONARDO
540;GENTILE FRANCESCO
541;PAOLUCCI ALESSANDRO
542;PORTO FRANCESCO
542;LEOTTA CLAUDIO
544;MARCHIARO LORENZO
545;BIANCO UMBERTO
546;NAPOLETANO MANUEL
547;GUZZARDI LEOPOLDO
548;ROVERE ENRICO
548;PUSKAR FRANCESCO
