Rank;NOME
381;DELLA CIANA CATERINA
382;MIGNANO VALERIA
383;ROSSI CHIARA
384;VERSARI GRETA
385;ANDALÒ SARA
386;MUCIG ARIANNA
387;CORTESE CHIARA
388;GULINO FRANCESCA
389;MOZZI SIMONA
390;GIULIANO BARBARA
391;DE SICOT CARLA MARTA
392;BOMMARITO VIRGINIA
393;SGUBBI ANITA
394;CARMINATI VITTORIA
395;BIGOLIN GABRIELLA
396;MARRA MARTINA
397;SCARPA VIVIANA
398;MESSINA CRISTINA
399;PERIN VISNJA
400;SERMANN CHIARA
401;PALAZZARI EMILIA
402;SOTERO ALICE
403;CATALFAMO CECILIA AUGUSTA
404;CASCIARO VITTORIA
405;DI GIORGIO FEDERICA
406;SAPONARO GRETA
407;AINA FRANCESCA
408;MANNA ADRIANA
409;SABATINI MARGHERITA
410;DI MARIO ANGELICA
411;TREVISAN CHIARA
412;FELIZIAN CARLOTTA
413;SALUTARI VIOLA
414;VIOLATI FLAMINIA
415;RUSSO FRANCESCA
416;MACIEJEWSKA MONIKA
417;LANZILLO FABIANA
418;DITOMMASO VIRGINIA
419;BEERBOHM MARGHERITA
420;MAIOLI VERDIANA
421;MALAVOLTI VALERIA
422;CASALETTI MARTINA
423;BRINI DOMITILLA
424;SAIU ELEONORA
425;SABATINI BENEDETTA
426;GIANNECCHINI ALESSIA
427;LUCIANI SARA
428;SETTEFONTI LINDA
429;VERNALEONE EVA ELISA
430;MAJELLO CECILIA
431;RAGOZZINO ANTHEA
432;CHIRICO ALESSIA
433;LUCIFORA SOFIA
434;METUSHI NICOLE
435;CRESCENTINI GIULIA SOFIA
436;CUCÈ SOFIA
437;GIUGNI CARLOTTA
438;POLINI MATILDE
439;GASPAROTTI AGNESE
440;LATTANZI CARMILLA
441;LIZZIO LIVIA
442;LUCA BEATRICE
443;CLIVIO LARA
443;SIMONGINI MARTINA
445;ERA RACHELE
446;CERASA NATALI'
447;VILLA ALESSANDRA
448;MEROLA GRETA
449;DONDI MATILDE
450;LOMBARDO MARIA IRENE
451;OLDANI GIULIA
452;BETTI GIADA
453;GALANTE MARTINA
454;WIRZ MARTA
455;GALLO GIORGIA
456;VICARI LUCREZIA
457;PANCRAZI VALENTINA
458;CARROZZA GRETA
459;LEOTTA SOFIA
460;LONGO GLORIA
461;MOSTOLA ALESSANDRA
462;LAGGIA LUDOVICA
463;ZILLI CRISTINA
464;CONTE CARLOTTA
465;MOSCHINI AMBRA
466;ZINI LAVINIA
467;BAVESTRELLO CHIARA
468;MANTELLI LUDOVICA
469;ARUS VITTORIA
470;MARIANO REFUGIO KRISTIAN ANGELI
471;PENSA FRANCESCA VANNINA CHIARA
472;RAVASI ROBERTA
473;GRASSI SOFIA
474;BATTAZZA ILARIA
475;ALBERTINI KEYRA
476;MODESTI LETIZIA
477;BRAGAGGIA GIULIA
478;GREGORUTTI ANITA
479;SONZOGNI MARIA
480;LANFRANCO MANUELA
481;RAITERI MARGHERITA
482;CIAMPALINI BENEDETTA
483;PANTALEO AFRA CLAUDIA
484;PELUSI MARTA
485;DOGLIOTTI IRENE
486;MOROTTI CATERINA
487;MASSARENTI SILVIA
488;CARMINATI CAMILLA
489;FOSSATI LINDA
490;PIEMONTE ELEONORA
491;SCOMAZZON MADDALENA
492;GENNACCARI VALERIA
493;CANTATORE BEATRICE
494;NOVARINI CARLOTTA ANNA
495;MIROCZNYK SERENA
496;VIGLIOTTI MARIA PIA
497;D'AGNANO LARA
498;PECO SAMANTHA
499;CABRAS STEFANIA
500;BIUNDO FRANCESCA
501;SPANO FABIOLA
502;LAVIANO GIADA
503;MALATINI FEDERICA
504;BERTOLLO CRISTINA
504;RUNCO GIULIA
506;DI MEO DENISE
507;FREGARA VIOLA
508;SALIDU CAMILLA
509;LANTELME VALERIA
510;AMORUSO BATTISTA NEVA
511;BERDIANU IONELA
512;LONGO GIULIA
513;DEL TORRE CAMILLA RITA
514;TESSARI ALICE
515;BARDASCINO MARIAFERNANDA
516;CUOMO ANGELICA
517;STORTI BEATRICE
518;BENTIVOGLI MARIA
519;NOMEN NOGUERA MIREIA
520;PANI MATILDE
521;GUERRIERI MARTINA
522;MINGIARDI OLIVIA
523;PALLOTTA BENEDETTA
524;SOZZI NIKOLA
525;CARAVAGLIOS SOFIA
526;FIORE SOFIA
527;AVANCINI ANNALISA
528;MANGÈ GINEVRA
529;DE LISI FLAVIA
530;POLACCI SARA SOFIA
531;AMATO ALICE
532;GRASSI FABRIZIA
533;ZAMBELLI CHIARA
534;RUBBUANO LAURA
535;CONTI AGATA
536;BULLITA VALENTINA
537;TARDELLI VIRGINIA
538;CELLETTI FLAVIA
539;GRUPICO GIULIA
540;MANCA FLORIANA MARIA
541;GIAMPIERI ANDREA
541;LANDI AURELI GIULIA
543;TURCO BEATRICE
544;DONATO EVELYNE
545;PELLIZZARI EMMA
546;TRIMBOLI LUCRETIA
547;BIANCO GIULIA
548;SELLITTI LILIANA
549;CONTADINO CARLOTTA
550;ZAGNONI CHIARA
551;CUCCHIARA GRETA
552;BAGGIO ELEONORA
553;MERCURI MARIA BEATRICE
554;DI DIODATO SARA
554;JONYNAITE KAMILA
556;FORTI SARA
557;CUSCINI ELISA
558;LEAL LEAL ANA KARINA
559;CAPACCI CATERINA
560;SESLER TANAS REBECCA
561;ARIU GIULIA
562;LUCONI MARTINA
563;CASCIARO FRANCESCA
564;BARRACO LISA
565;RAGUSA CHIARA
566;CORSO CECILIA
567;FRIGNOLI FEDERICA
568;FIORE SARA
569;SALIMBENI GIULIA
570;LEONARDI MARTINA
571;GIULIANI ARIANNA
572;LAMONACA KAJA
573;GIANGIULIO MARTINA
574;CARROZZA GINEVRA
575;CECCHET IRENE SOFIA
576;HAGBE NTOT MBENOUN SONIA GISELE
577;BONSI IRMA
578;LO BUE SIMONA
579;MANCINELLI MELINDA
580;BELLIN SARA
581;PAROLIN MARIA SOFIA
582;SANTANGELO MARTA
583;TUMMINELLO VALENTINA FRANCESCA
584;MARI MARIANNA
585;PARENTI CAMILLA
586;PIERACCIANI AURORA
587;BASSI ANNA
588;MORSIANI BIANCA
589;BERTUZZO ANNA PAOLA
590;BONZANO EVITA
591;UGOLINI MARGHERITA
592;GUARINI LUCIA
593;MENSA MARCELLA MARIA
594;FREGONESE VERONICA
595;MANGIAROTTI PAOLA
596;MAZZONI ANNA
597;DI GIOIA ANNA
598;AGOSTINI ELISA
599;LABROZZI GIULIA
600;DI BARTOLOMEO SOFIA
601;BUCCIFERRI LUDOVICA
602;MILANESE MICHELLE
603;GIORGI GIADA
604;MATTIELLO LICIA
605;RAMETTA GIULIA
606;ALLARA CECILIA
607;BERTOLO GAIA
608;JAMAI ASMAA
609;SATTIER ELEONORA
610;ALBERGHINI SOFIA
610;CASADIO MARIAGRAZIA
612;DOMENICHINI LIA
613;DA ROZZE MADDALENA
