Rank;NOME
505;GALLIPOLI RICCARDO
506;BRIZI FRANCESCO
507;VATTOLO FLAVIO
508;MARCHETTI LUCA
509;GALLEANI LUDOVICO CURIO
510;CAPOMAGGI SPARTACO
511;ROSSI FRANCESCO
512;LONTANI MATTEO
513;NION CARNERO NICOLAS
514;PALAZZI GIULIANO FRANCO
515;GIUPPONI ALESSANDRO
516;URSO MATTIA
517;MOCCI GABRIELE
518;BOGI JACOPO
519;DURRUTHY SEMUEL LORENZO
520;GELSOMINO FRANCESCO
521;TURCHETTO NICOLA
522;FERRARI DI COLLESAPE GIULIO
523;ALTOBELLO ANTONELLO
524;SORTINO SIMONE
525;IONNA ALESSIO
526;PISTOLI ALUNNI ALESSIO
527;MEDINA VINCENZO
528;BALASSO ALVISE
529;ROCCHIGIANI LORENZO
530;MAGGI ALESSANDRO
531;DI BERARDINO MARCO
532;MARASCA GIORGIO
533;GOLOBIC JAN
534;PILLA ANDREA
535;D'AQUINO PIETRO
536;FRIGERIO MARCO
537;ZAPPALÀ SIMONE
538;MONTESANTI FLAVIO
539;BRUNO GIUSEPPE
540;BARGERO SIMONE
541;ARNO' FILIPPO
542;SCHIAVINA RICCARDO
543;LOCCI FILIPPO
544;CERBELLA EMANUELE
545;BERNARDO MARCO
546;PONENTE ALESSIO
547;CORDOVA LORENZO
548;MALAN GIORGIO
549;ZOTTA GIOVANNI
550;ROSA ALFREDO
551;MARCIANÒ FILIPPO MARIA
552;PASCHINA GABRIELE
553;TOSCANO SIMONE
554;TONACCI ARISTIDE
555;GAMBITTA GIOVANNI
556;MOCCI VINICIO
557;DEPALMAS ANDREA
558;ROSO SIMONE
559;KOWALCZYK ALBERT JAKUB
560;LUSSO WALTER
561;COSSU RICCARDO
562;PARENTE ADRIANO
563;SANTILIO VINCENZO
564;D'AMBROSIO FRANCESCO
565;BOI SALVATORE
566;DE DOMENICO LUCA
567;PIREDDA SIMONE
568;CASSOLA EDOARDO
569;LATINI PIETRO
570;CHIAVELLI GIUSEPPE
571;CALZA LUCA
572;CRETÌ ALDO
573;DI GIUGNO MATTEO
574;CONFETTURA GIUSEPPE ANTONIO
575;ROMEO MATTIA
576;GOVERNATORI FRANCESCO
577;TOMASI MATTEO
578;COLOMBO ANDREA
579;SAVIANO FEDERICO
580;BENEDUCI ALESSANDRO
581;RICCIO ETTORE
582;TIDONA RICCARDO
583;GARRO STEFANO
584;DALLENBACH ALEXANDRE
585;CHIUSO MICHELE
586;MAGI EDOARDO
587;MADOLINI ALESSIO
588;PARADISO STEFANO
589;BOCCA DARIO
590;BERETTA MATTEO
591;RAU CIPRIAN GEORGE
592;ORLANDO ROBERTO
593;EMOLO FRANCESCO ANTONIO
594;GATTO MARCO
595;FOTI SIMONE DEMETRIO
596;CERINO CARMINE
597;BERNARDINI GABRIELE
598;D'ESTE ANDREA
599;CAVATTONI BARUDA
600;CONVERTINI JACOPO
601;OLIVIERI ALEX
602;CREA GIOVANNI
603;MUCCIARELLA LORENZO
604;GRUBAR TIMON
605;KOMAN ROBERT
606;CELLA LUDOVICO
607;GALASSO LUIGI EMANUELE
608;ERRICO STEFANO
609;PARAGLIOLA DANIEL
610;TARDELLA TOMMASO
611;LUNGHI CARLO MARIA
612;SAMMARRO GIUSEPPE
613;VITTORI LEONARDO
614;MICHELI GIORGIO
615;D'AGOSTINO GIANFRANCO
616;QUONDAM GIROLAMO FRANCESCO
617;SIMONATO FRANCO ALCHIEDE
618;LEAL CARLOS MARTIN
619;BOVE GIULIO
620;CAVAZZONI GIOVANNI
621;VIANELLI ALESSANDRO
622;ZONNO MICHELE
623;CARRESI DAVIDE
624;ANCARANI ALBERTO
625;RIZZI ANDREI
626;GIANNINI FEDERICO
627;FALCONE GIORGIO
628;NARCISO ANTONIO
629;CANU ANTONIO MICHELE
630;RENZI GIOVANNI
631;VANNUCCI DINO
632;FABBRI FILIPPO
633;SABA FILIPPO
634;COLASANTI DANIELE
635;ANASTASIA LUIGI
636;CATTO MARCO
637;GENNACCARI LUIGI
638;SCALIA RAIMONDO
639;BOATTO ANDREA
640;LAVIOLA GIUSEPPE
641;MICIELI GABRIELE
642;MAGGI NICOLO'
643;GARBARINO NICCOLO'
644;CIANCI MARCO ANTONIO
645;LOIUDICE FILIPPO
646;LILLINI EDOARDO
647;GUERRIERO RENATO
648;TROTTA NICOLA
649;TRIVELLI SERGIO
650;RAVERA MATTEO ARTEM
651;DI VAIO ENRICO
652;FARCI FABIO
653;VIDINI FRANCESCO
654;MAZZARINI ARNAU
655;TAVOLACCI ALBERTO
656;MAZZARINI ANDREA
657;DE SANTIS TULLIO
658;ZOCCALI SIMONE
659;RUSSO RICCARDO
660;LOMBARDO ENRICO
661;MUSUMECI SERGIO
661;MANGIAMELI FRANCESCO
663;RONZULLI ROBERTO
664;RACITI FILIPPO
665;MENICUCCI VALERIO
666;VANCINI GIOVANNI
667;RATTO FRANCESCO
668;GENNA GIUSEPPE
669;SPIGA FRANCESCO
670;ATZORI GIANMARCO
671;PASSETTI TOMMASO
672;ZUCCA LANFRANCO
673;LITTARRU JACOPO
674;MUSCAS MATTIA
675;FAVRETTI UMBERTO
676;PERNAZZA DAMIANO
677;PLOS MATTIA
678;COCCHINI LORENZO
679;GHETTI MARCELLO
680;GENNARO RICCARDO
681;GRASSI DARIO
682;PATERLINI ANDREA
683;KURECSKA ALESSANDRO
684;GHISLENI NICOLO'
685;GONEL TOMAS GERARD
686;AMENTA ANTONIO MARIA
687;POGGI MATTEO
688;LETO RICCARDO
689;FIORAMANTI ALESSANDRO
690;GIANOLI RICCARDO
691;SCAVONE EDOARDO
692;WALLISER EDOARDO
693;PEDONE MATTIA
694;GALLUZZO RICCARDO
695;PENNACCHIONI ALEKSEJ
696;GIUGLIANO PIETRO
697;BONINO MARCO
698;SALAMANDRA PAOLO
699;ROSSETTI TOMMASO
700;POSSI SILVIO
701;DI NICOLA FRANCESCO
702;ORTU RICCARDO
703;BACCOLO STEFANO
704;DE SERVI CRISTIANO
705;BELLAGAMBA LORENZO
706;CIPRIANI RICCARDO
707;VAGNI FILIPPO
708;ROMEO DOMENICO
709;BRAVETTI DANIELE
710;VITA ANTONIO JACOPO
711;FONTANINI PIETRO LEONARDO
711;MICHELETTI CREMASCO FILIPPO
713;PASQUA GIULIANO
714;MONTINERI GABRIELE
715;PAGLIAI ACHILLE
716;BRACONI NICCOLO'
717;SIMEONI MATTIA FRANCESCO
718;PISMATARO LUDOVICO
719;OTTELLI MIRKO
720;LORENZETTI GIAMMARIO
721;PANOZZO GABRIEL
722;SCAGLIOTTI SIMONE
723;SFORZINI ALESSANDRO
724;FINA GIULIANO
725;ZANIN ANDREA
726;FIORE RICCARDO EMANUELE
727;COPPOLA FEDERICO
728;TROISE DAVIDE
729;DI VINCENZO ALESSANDRO
730;LICASTRO DOMENICO COSIMO
731;LA REGINA FRANCESCO
732;ANDRUETTO LORENZO
733;FERRAUTI MATTEO
734;MARANGELLI ORONZO GIUSEPPE
735;DE LUCA GIUSEPPE
736;BERTOLLA ANTONELLO
737;KAMENNOV ANDREI
738;BASSETTI GIULIO
739;CASAGRANDE FLAVIO
740;DENTI LORENZO
741;MARIANI LEONARDO LUCIANO
742;LUCREZI GINO
743;D'ALBENZIO LORENZO
744;PERELLO ALBERTO
745;PERRI MARCO
746;SANTANGELO ALESSANDRO
747;RESEGOTTI SERGIO
748;VOLPE GIUSEPPE
749;DI GIOVANNI ANTONIO
750;PAGANO STEFANO
751;LIUZZI GIANMARCO
751;TARTAGLIA ALESSANDRO
753;RENINO CIRO
754;SALAMITI MATTEO
754;MASECCHIA LORENZO
756;MOSCHIANO NICCOLO'
757;IEZZI ALESSANDRO
758;LEONELLI STEFANO
759;ALBERTINI JACOPO
760;DI STEFANO TANCREDI
761;PINNA GIOELE
762;CASTRO FABIANO
763;PAVAN LEONARDO
764;BELLUZZI ALBERTO
765;BARONI LEONARDO
766;TROVATO MARCO
767;ROTELLA MICHELE
768;MARTINI DAMIANO
769;PASSARO DANIELE
770;D'AGOSTINO LEONARDO
771;LONGOBARDI GABRIELE
772;DUTTO LUDOVICO
773;CAFAROTTI LORENZO
774;GAGLIARDI LUIGI
775;CIMINO GABRIELE
776;BELLUCCI MANUEL
777;MARTINELLI NICHOLAS
778;MUSOLINO RICCARDO
779;DORIGO LORENZO
780;MASCARINO SIMONE
781;CAMPANILE ENRICO
781;CRIPPA ALESSANDRO
783;IPPOLITI LORENZO
784;VICINI GIOVANNI
785;GOLINI PETRARCONE MARIO
786;PIZZUTI NICCOLO'
787;DI STEFANO GIACOMO
788;BIGOT MASSIMILIANO
789;CONSALES FRANCESCO MARIA
790;LEECH STUART
791;MANCINI GABRIELE
792;SAMORÌ GABRIELE
793;ROSSI GABRIELE
794;BETTI GABRIELE
795;MORETTI VALERIO MASSIMO
796;GUIDOBONI RUBEN
797;SALVETTI FEDERICO
798;MEROLA MARCO
799;BARELLINI PAOLO
800;BIGNAMI MAURO
801;MANIGA MANUEL
802;TAMBURRINO UMBERTO
803;VANNUCCI ANTONIO
804;MOURLON DRUOL EMMANUEL
805;VITI ALESSANDRO
806;DELL'INNOCENTI MONTSERRAT ARNAU
807;STEFANETTI ANDREAS
808;ARRIGONI LUDOVICO
809;AGAVRILOAIE DENIS
810;VISCO FEDERICO
811;BERTUCELLI COSTANTINO
812;SPANÒ UMBERTO
813;CECCARONI NICOLO'
814;AGNELLA ANDREA
815;GENTILE FLAVIO
816;ZORLONI RICCARDO LUCA JUNIOR
817;CONSIGLIO MICHELE
818;CATANIA FRANCESCO
819;GIACCHETTI ANDREA
820;ARGIOLAS GABRIELE
821;TAMBASCO LORENZO
822;QUARTIERI SAMUEL
823;PARDINI ALESSIO
824;PARDINI EMANUELE
824;JOSHUA FEDERICO
826;IORI MATTIA
827;SABATTINI LEONARDO
828;POLLEDRI AMEDEO
829;STRANO RUGGERO
830;DONATI GIORGIO
831;NOTO ANTONIO
832;RUSSO MATTEO SALVATORE MARIA
833;SCOMAZZON LEONARDO ANTONIO
834;STRUSANI NICCOLÒ
835;DE SOMMA ELIAS
836;DALL'OSSO DARIO
837;MANZONE FILIPPO
838;MONTANARELLA DIEGO
839;SACCOMANDI GAETANO
840;MAZZER ALBERTO
841;STORELLI FABIO
842;GALEAZZI GIOVANNI
843;TORMENA LUDOVICO GUIDO
844;BELLA IVAN
845;BORLENGO ANDREA
846;FABRIS DIEGO
847;GAMBINO MATTIA
848;DI NOIA MATTEO
849;CAMPOS ZARATE ANDRES FELIPE
850;LIPPI GABRIELE
851;RAVALLI LORENZO MARIA
852;SFONDRINI EDOARDO
853;MONTEFORTE ANDREA
854;CAMATTINI ANDREA
855;MORABITO RICCARDO GIUSEPPE
856;SCRIMA VADALÀ GIULIO
857;ARCIDIACONO LORENZO
858;GIAQUINTO JORGE ANTONIO
859;DI PLACIDO MARCO
860;ALPARONE MATTIA
861;TULLIANI ANDREA
862;SABBADINI RICCARDO
863;DE CLARA MATTIA
864;KAHLOUN YOUSSEF
865;MONZASCHI GIACOMO
866;LONGO FEDERICO
867;AUFFRAY THOMAS
868;FERRARI ADRIANO
869;GOTTI ALESSANDRO
870;CONTI MICHELE
871;BALASSO ZENO
872;LUSSO ALESSANDRO
873;TRICARICO SIMONE
874;ZANIN RICCARDO
875;CAPITANI ANDREA
876;LALLI EMANUELE
877;MORDINI MARCO
878;FAVETTI ANDREA
879;CELLI EMILIANO MARIO ALFREDO
880;CASOLI MATTEO
881;SLAVE MIHAI
882;LEUZZI SAMUELE
883;ZENUCCHI THOMAS
884;CASTELLI RODOLFO
885;PICCO ALBERTO
886;SPADARO ENRICO
887;FIORENTINO JACOPO
888;MASARIN ELIGIO
889;BEAUCHAMP VLAD
890;CINTI EDOARDO
890;TOFFALETTI BRANDO
892;ALPARONE ANDREA
893;DI NORA RICCARDO
894;BELLAGAMBA SIMONE
895;ROBECCHI MAJNARDI CORRADO
895;BEDANI VITTORIO
897;PANCERI DAVIDE
898;PREVITALI MATTEO
899;ORTOLAN RICCARDO
900;BOMMARITO MICHELE
901;TAFURI GABRIELE
902;PAMBIANCO MATTEO
903;MARCHETTI EDOARDO
904;CROSATO ALBERTO
905;INNOCENTI NICCOLÒ
906;FUCCELLI FRANCESCO
907;SUPINO ANTONIO
908;BRAVETTI CLAUDIO
909;DI BIASE STEFANO
910;CASTAGNARI ANDREA
911;MARIANI RICCARDO
912;SERPI LORENZO
913;BIANCHI GIULIO
914;PRADISSITTO LUCA
915;GRILLI ALESSANDRO
